Site,Name,Price,Stock,Link
"efantasy","Magic the Gathering Collector Booster - March of the
Machine: The Aftermath","19,99€","Διαθέσιμα: 4","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/228311-magic-the-gathering-collector-booster-march-of-the-machine-the-aftermath"

"efantasy","Magic the Gathering - Aetherdrift Commander Deck
(Eternal Might)","49,99€","Διαθέσιμα: 0","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/330916-magic-the-gathering-aetherdrift-commander-deck-eternal-might"

"efantasy","Magic the Gathering - Modern Horizons 3 Collector's
Commander Deck (Eldrazi Incursion)","149,99€","Διαθέσιμα: 0","https://www.efantasy.gr/el/%CF%80%CF%81%CE%BF%CF%8A%CF%8C%CE%BD%CF%84%CE%B1/magic-the-gathering/278485-magic-the-gathering-modern-horizons-3-collectors-commander-deck-eldrazi-incursion"

"fantasy-shop","AJANI BOLAS PHUNNY","€16,00","Not Fetched","https://www.fantasy-shop.gr/en/ajani-bolas-phunny.html"

"fantasy-shop","Arena Starter Kit 2021","€9,99","Not Fetched","https://www.fantasy-shop.gr/en/arena-starter-kit-2021.html"

"fantasy-shop","Assassin's Creed Beyond Booster","€7,00","Not Fetched","https://www.fantasy-shop.gr/en/assassins-creed-beyond-booster.html"

"fantasy-shop","Assassin's Creed Bundle","€64,99","Not Fetched","https://www.fantasy-shop.gr/en/assassins-creed-bundle.html"

"fantasy-shop","Assassin's Creed Collector Booster","€26,99","Not Fetched","https://www.fantasy-shop.gr/en/assassins-creed-collector-booster.html"

"fantasy-shop","Assassin's Creed Starter Kit","€19,99","Not Fetched","https://www.fantasy-shop.gr/en/assassins-creed-starter-kit.html"

"fantasy-shop","Bloomburrow Bundle","€59,99","Not Fetched","https://www.fantasy-shop.gr/en/bloomburrow-bundle.html"

